Metric_Stage,Conventional Crude,Conventional Oil Sand,Conventional Shale Oil,Conventional US Mix,FT-Jet NA NG,FT-Jet Corn Stover,HEFA Soybean,HEFA Rapeseed,HEFA Camelina
CO2e_WTP,9.857911423,29.46047355,9.592713652,11.58758272,29.92323282,-65.14164663,-28.12337713,-28.37132538,-20.48743875
CO2e_PTW,73.18189257,73.18189257,73.18189257,73.18189257,70.44164784,70.44164784,70.44164784,70.44164784,70.44164784
CO2e_WTW,83.03980399,102.6423661,82.77460622,84.76947529,100.3648807,5.300001216,42.31827071,42.07032246,49.9542091
CO2e_units,[gCO2e/MJ],[gCO2e/MJ],[gCO2e/MJ],[gCO2e/MJ],[gCO2e/MJ],[gCO2e/MJ],[gCO2e/MJ],[gCO2e/MJ],[gCO2e/MJ]
VOC_WTP,0.006522366,0.006702596,0.006375808,0.006544334,0.012989046,0.005890545,0.020758555,0.074395059,0.037466806
VOC_PTW,0.006427151,0.006427151,0.006427151,0.006427151,0.006446491,0.006446491,0.006446491,0.006446491,0.006446491
VOC_WTW,0.012949518,0.013129747,0.012802959,0.012971485,0.019435537,0.012337036,0.027205046,0.080841549,0.043913297
VOC_units,[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ]
CO_WTP,0.009138268,0.016389273,0.008759051,0.009790185,0.025726719,0.016283924,0.02354201,0.031086758,0.03342814
CO_PTW,0.028868877,0.028868877,0.028868877,0.028868877,0.028429862,0.028429862,0.028429862,0.028429862,0.028429862
CO_WTW,0.038007145,0.04525815,0.037627928,0.038659063,0.054156581,0.044713786,0.051971871,0.05951662,0.061858002
CO_units,[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ]
NOx_WTP,0.014496676,0.024037659,0.011825205,0.015353408,0.030838099,0.022450538,0.032297941,0.060237105,0.059953712
NOx_PTW,0.243743071,0.243743071,0.243743071,0.243743071,0.22416221,0.22416221,0.22416221,0.22416221,0.22416221
NOx_WTW,0.258239747,0.26778073,0.255568275,0.259096479,0.255000308,0.246612748,0.25646015,0.284399314,0.284115922
NOx_units,[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ],[g/MJ]
